queryid,execution_time_with_aqo,execution_time_without_aqo,planning_time_with_aqo,planning_time_without_aqo,cardinality_error_with_aqo,cardinality_error_without_aqo,executions_with_aqo,executions_without_aqo
4445581228366823766,{},"{0.138331164,0.153434748,0.136688415,0.144041855}",{},"{0.104420294,0.118332149,0.108642028,0.113626906}",{},"{0.7209782977948069,0.7209782977948069,0.7209782977948069,0.7209782977948069}",0,4
2333270921735776355,{},"{0.691700077,0.279836213,0.272579812,0.212312144}",{},"{0.023154058,0.025282765,0.025266262,0.022818201}",{},"{2.8044128143366636,2.8044128143366636,2.8044128143366636,2.8044128143366636}",0,4
6225652705960457954,{},"{0.023628569,0.320601188,0.022919615,0.31474094,0.021893506,0.272897352,0.025565578,0.315659645}",{},"{0.013384153,0.01109746,0.011860753,0.010864446,0.010409259,0.010808503,0.011715788,0.011344571}",{},"{1.4235451128246053,2.9527036823750015,1.4235451128246053,2.9527036823750015,1.4235451128246053,2.9527036823750015,1.4235451128246053,2.9527036823750015}",0,8
946838174961328458,{},"{0.127329364,0.136279307,0.135926248,0.132419637}",{},"{0.005270128,0.005592067,0.005302705,0.005248277}",{},"{0.6253483481794339,0.6253483481794339,0.6253483481794339,0.6253483481794339}",0,4
-6747521538659772949,{},"{4.176573723,4.3613609239999995,4.093068566,3.464647555}",{},"{0.021923393,0.023506839,0.024057501,0.022828762}",{},"{1.488294419506911,1.488294419506911,1.488294419506911,1.488294419506911}",0,4
1168076528610430802,{},"{4.709425875,4.670040137,4.417660691,4.551830068}",{},"{0.013545609,0.013255411,0.012418954,0.012503714}",{},"{2.3425251008634294,2.3425251008634294,2.3425251008634294,2.3425251008634294}",0,4
4954783290691726040,{},"{0.155523209,0.156892563,0.148212953,0.157245123}",{},"{0.013698209,0.013954632,0.012844365,0.014473174}",{},"{1.0460730918934769,1.0460730918934769,1.0460730918934769,1.0460730918934769}",0,4
-1116224040252844741,{},"{0.155510758,0.153639164,0.148457364,0.150354061}",{},"{0.005767395,0.006763513,0.00599132,0.005777893}",{},"{0.498048384298285,0.498048384298285,0.498048384298285,0.498048384298285}",0,4
1322643491423167220,{},"{0.109576306,0.115894938,0.112443412,0.109917134}",{},"{0.193390693,0.213311653,0.207143623,0.201983337}",{},"{1.7475065998157993,1.7475065998157993,1.7475065998157993,1.7475065998157993}",0,4
-3210595597316270705,{},"{0.772027155,0.779931236,0.794845348,0.762849649}",{},"{0.247941419,0.234825397,0.250488437,0.239838569}",{},"{2.307955303287506,2.307955303287506,2.307955303287506,2.307955303287506}",0,4
5372730239182956237,{},"{0.617677026,0.60464254,0.64755136,0.587807778}",{},"{0.243607082,0.240350018,0.255092874,0.242786532}",{},"{3.1212466409774526,3.1212466409774526,3.1212466409774526,3.1212466409774526}",0,4
2073429154321355728,{},"{0.126965262,0.123456246,0.125360224,0.125146395}",{},"{0.007089327,0.006504229,0.006631504,0.00659707}",{},"{0.6208275123883689,0.6208275123883689,0.6208275123883689,0.6208275123883689}",0,4
-6885312641126422993,{},"{0.119749062,0.12673288,0.133958974,0.125010919}",{},"{0.00522574,0.00543648,0.005225262,0.005418937}",{},"{2.3640212484517398,2.3640212484517398,2.3640212484517398,2.3640212484517398}",0,4
-1889760809355916724,{},"{4.615420753,4.463663439,4.264635677,4.516406926}",{},"{0.215850301,0.202503751,0.207810718,0.202173425}",{},"{3.579006450604917,3.579006450604917,3.579006450604917,3.579006450604917}",0,4
-6571914703387389993,{},"{0.027382453,0.026059371,0.025878537,0.024816882}",{},"{0.294374509,0.286622693,0.289500315,0.278468107}",{},"{0.8360834899695422,0.8360834899695422,0.8360834899695422,0.8360834899695422}",0,4
-460740518707800565,{},"{0.591974537,0.559291507,0.582389833,0.486119454}",{},"{0.059185002,0.056653405,0.056460441,0.055618758}",{},"{1.094548277614205,1.094548277614205,1.094548277614205,1.094548277614205}",0,4
-1950505845315524548,{},"{0.191446058,0.108961591,0.192659862,0.164880113,0.105931822,0.180895234,0.162300212,0.108326787,0.180865919,0.16119865,0.104205143,0.179861335}",{},"{0.006230924,0.006045013,0.006083914,0.006115537,0.005686073,0.005529303,0.005979607,0.005404449,0.005925846,0.005873999,0.005446394,0.005499869}",{},"{0.9398474063839325,0.5132914147416149,1.0310594469889949,0.9398474063839325,0.5132914147416149,1.0310594469889949,0.9398474063839325,0.5132914147416149,1.0310594469889949,0.9398474063839325,0.5132914147416149,1.0310594469889949}",0,12
